Origin,Airline,Time,On_Time,Late,Probability_Late
DEN,F9,1,197,93,0.32068965517241377
DEN,F9,2,190,211,0.5261845386533666
DEN,F9,3,41,67,0.6203703703703703
DEN,UA,1,1,3,0.75
DEN,UA,2,430,259,0.37590711175616837
DEN,UA,3,175,114,0.3944636678200692
DEN,B6,1,0,0,
DEN,B6,2,0,0,
DEN,B6,3,0,0,
DEN,WN,1,50,7,0.12280701754385964
DEN,WN,2,393,181,0.3153310104529617
DEN,WN,3,231,258,0.5276073619631901
DEN,AA,1,0,0,
DEN,AA,2,0,0,
DEN,AA,3,0,0,
DEN,US,1,0,0,
DEN,US,2,0,0,
DEN,US,3,0,0,
DEN,DL,1,0,0,
DEN,DL,2,0,0,
DEN,DL,3,0,0,
DEN,NK,1,0,0,
DEN,NK,2,0,0,
DEN,NK,3,0,0,
DEN,VX,1,0,0,
DEN,VX,2,0,0,
DEN,VX,3,0,0,
DEN,AS,1,0,0,
DEN,AS,2,0,0,
DEN,AS,3,0,0,
DEN,EV,1,0,0,
DEN,EV,2,0,0,
DEN,EV,3,0,0,
IAD,F9,1,29,29,0.5
IAD,F9,2,122,69,0.3612565445026178
IAD,F9,3,8,115,0.9349593495934959
IAD,UA,1,219,102,0.3177570093457944
IAD,UA,2,382,165,0.3016453382084095
IAD,UA,3,209,217,0.5093896713615024
IAD,B6,1,0,0,
IAD,B6,2,0,0,
IAD,B6,3,0,0,
IAD,WN,1,0,0,
IAD,WN,2,0,0,
IAD,WN,3,0,0,
IAD,AA,1,0,0,
IAD,AA,2,0,0,
IAD,AA,3,0,0,
IAD,US,1,0,0,
IAD,US,2,0,0,
IAD,US,3,0,0,
IAD,DL,1,0,0,
IAD,DL,2,0,0,
IAD,DL,3,0,0,
IAD,NK,1,0,0,
IAD,NK,2,0,0,
IAD,NK,3,0,0,
IAD,VX,1,0,0,
IAD,VX,2,0,0,
IAD,VX,3,0,0,
IAD,AS,1,0,0,
IAD,AS,2,0,0,
IAD,AS,3,0,0,
IAD,EV,1,0,0,
IAD,EV,2,0,0,
IAD,EV,3,0,0,
LGA,F9,1,0,0,
LGA,F9,2,0,0,
LGA,F9,3,0,0,
LGA,UA,1,0,0,
LGA,UA,2,0,0,
LGA,UA,3,0,0,
LGA,B6,1,311,89,0.2225
LGA,B6,2,318,267,0.4564102564102564
LGA,B6,3,321,359,0.5279411764705882
LGA,WN,1,0,0,
LGA,WN,2,0,0,
LGA,WN,3,0,0,
LGA,AA,1,8,7,0.4666666666666667
LGA,AA,2,0,0,
LGA,AA,3,0,0,
LGA,US,1,0,0,
LGA,US,2,0,0,
LGA,US,3,0,0,
LGA,DL,1,319,73,0.18622448979591838
LGA,DL,2,734,417,0.3622936576889661
LGA,DL,3,370,320,0.463768115942029
LGA,NK,1,0,0,
LGA,NK,2,0,0,
LGA,NK,3,0,0,
LGA,VX,1,0,0,
LGA,VX,2,0,0,
LGA,VX,3,0,0,
LGA,AS,1,0,0,
LGA,AS,2,0,0,
LGA,AS,3,0,0,
LGA,EV,1,0,0,
LGA,EV,2,0,0,
LGA,EV,3,0,0,
MIA,F9,1,0,0,
MIA,F9,2,0,0,
MIA,F9,3,0,0,
MIA,UA,1,0,0,
MIA,UA,2,0,0,
MIA,UA,3,0,0,
MIA,B6,1,0,0,
MIA,B6,2,0,0,
MIA,B6,3,0,0,
MIA,WN,1,0,0,
MIA,WN,2,0,0,
MIA,WN,3,0,0,
MIA,AA,1,454,207,0.31316187594553707
MIA,AA,2,597,580,0.4927782497875956
MIA,AA,3,476,688,0.5910652920962199
MIA,US,1,0,0,
MIA,US,2,0,0,
MIA,US,3,0,0,
MIA,DL,1,0,0,
MIA,DL,2,18,7,0.28
MIA,DL,3,0,6,1.0
MIA,NK,1,0,0,
MIA,NK,2,0,0,
MIA,NK,3,0,0,
MIA,VX,1,0,0,
MIA,VX,2,0,0,
MIA,VX,3,0,0,
MIA,AS,1,0,0,
MIA,AS,2,0,0,
MIA,AS,3,0,0,
MIA,EV,1,0,0,
MIA,EV,2,0,0,
MIA,EV,3,0,0,
MDW,F9,1,0,0,
MDW,F9,2,0,0,
MDW,F9,3,0,0,
MDW,UA,1,0,0,
MDW,UA,2,0,0,
MDW,UA,3,0,0,
MDW,B6,1,0,0,
MDW,B6,2,0,0,
MDW,B6,3,0,0,
MDW,WN,1,501,105,0.17326732673267325
MDW,WN,2,751,439,0.3689075630252101
MDW,WN,3,424,361,0.45987261146496816
MDW,AA,1,0,0,
MDW,AA,2,0,0,
MDW,AA,3,0,0,
MDW,US,1,0,0,
MDW,US,2,0,0,
MDW,US,3,0,0,
MDW,DL,1,0,0,
MDW,DL,2,0,0,
MDW,DL,3,0,0,
MDW,NK,1,0,0,
MDW,NK,2,0,0,
MDW,NK,3,0,0,
MDW,VX,1,0,0,
MDW,VX,2,0,0,
MDW,VX,3,0,0,
MDW,AS,1,0,0,
MDW,AS,2,0,0,
MDW,AS,3,0,0,
MDW,EV,1,0,0,
MDW,EV,2,0,0,
MDW,EV,3,0,0,
JFK,F9,1,0,0,
JFK,F9,2,0,0,
JFK,F9,3,0,0,
JFK,UA,1,0,0,
JFK,UA,2,0,0,
JFK,UA,3,0,0,
JFK,B6,1,569,250,0.3052503052503053
JFK,B6,2,815,525,0.3917910447761194
JFK,B6,3,499,453,0.47584033613445376
JFK,WN,1,0,0,
JFK,WN,2,0,0,
JFK,WN,3,0,0,
JFK,AA,1,249,72,0.22429906542056074
JFK,AA,2,226,125,0.3561253561253561
JFK,AA,3,12,4,0.25
JFK,US,1,0,0,
JFK,US,2,0,0,
JFK,US,3,0,0,
JFK,DL,1,222,71,0.24232081911262798
JFK,DL,2,616,245,0.2845528455284553
JFK,DL,3,223,173,0.43686868686868685
JFK,NK,1,0,0,
JFK,NK,2,0,0,
JFK,NK,3,0,0,
JFK,VX,1,0,0,
JFK,VX,2,0,0,
JFK,VX,3,0,0,
JFK,AS,1,0,0,
JFK,AS,2,0,0,
JFK,AS,3,0,0,
JFK,EV,1,0,0,
JFK,EV,2,0,0,
JFK,EV,3,0,0,
LAS,F9,1,99,116,0.5395348837209303
LAS,F9,2,31,30,0.4918032786885246
LAS,F9,3,0,0,
LAS,UA,1,0,0,
LAS,UA,2,0,0,
LAS,UA,3,0,0,
LAS,B6,1,0,0,
LAS,B6,2,0,0,
LAS,B6,3,0,0,
LAS,WN,1,0,1,1.0
LAS,WN,2,199,128,0.39143730886850153
LAS,WN,3,146,192,0.5680473372781065
LAS,AA,1,0,0,
LAS,AA,2,0,0,
LAS,AA,3,0,0,
LAS,US,1,0,0,
LAS,US,2,0,0,
LAS,US,3,0,0,
LAS,DL,1,0,0,
LAS,DL,2,0,0,
LAS,DL,3,0,0,
LAS,NK,1,0,0,
LAS,NK,2,0,0,
LAS,NK,3,0,0,
LAS,VX,1,0,0,
LAS,VX,2,0,0,
LAS,VX,3,0,0,
LAS,AS,1,0,0,
LAS,AS,2,0,0,
LAS,AS,3,0,0,
LAS,EV,1,0,0,
LAS,EV,2,0,0,
LAS,EV,3,0,0,
PHX,F9,1,0,0,
PHX,F9,2,0,0,
PHX,F9,3,0,0,
PHX,UA,1,0,0,
PHX,UA,2,0,0,
PHX,UA,3,0,0,
PHX,B6,1,0,0,
PHX,B6,2,0,0,
PHX,B6,3,0,0,
PHX,WN,1,0,0,
PHX,WN,2,151,122,0.4468864468864469
PHX,WN,3,41,37,0.47435897435897434
PHX,AA,1,34,35,0.5072463768115942
PHX,AA,2,95,77,0.4476744186046512
PHX,AA,3,56,69,0.552
PHX,US,1,73,51,0.4112903225806452
PHX,US,2,182,110,0.3767123287671233
PHX,US,3,58,93,0.6158940397350994
PHX,DL,1,0,0,
PHX,DL,2,0,0,
PHX,DL,3,0,0,
PHX,NK,1,0,0,
PHX,NK,2,0,0,
PHX,NK,3,0,0,
PHX,VX,1,0,0,
PHX,VX,2,0,0,
PHX,VX,3,0,0,
PHX,AS,1,0,0,
PHX,AS,2,0,0,
PHX,AS,3,0,0,
PHX,EV,1,0,0,
PHX,EV,2,0,0,
PHX,EV,3,0,0,
PSE,F9,1,0,0,
PSE,F9,2,0,0,
PSE,F9,3,0,0,
PSE,UA,1,0,0,
PSE,UA,2,0,0,
PSE,UA,3,0,0,
PSE,B6,1,332,82,0.19806763285024154
PSE,B6,2,0,0,
PSE,B6,3,2,0,0.0
PSE,WN,1,0,0,
PSE,WN,2,0,0,
PSE,WN,3,0,0,
PSE,AA,1,0,0,
PSE,AA,2,0,0,
PSE,AA,3,0,0,
PSE,US,1,0,0,
PSE,US,2,0,0,
PSE,US,3,0,0,
PSE,DL,1,0,0,
PSE,DL,2,0,0,
PSE,DL,3,0,0,
PSE,NK,1,0,0,
PSE,NK,2,0,0,
PSE,NK,3,0,0,
PSE,VX,1,0,0,
PSE,VX,2,0,0,
PSE,VX,3,0,0,
PSE,AS,1,0,0,
PSE,AS,2,0,0,
PSE,AS,3,0,0,
PSE,EV,1,0,0,
PSE,EV,2,0,0,
PSE,EV,3,0,0,
BQN,F9,1,0,0,
BQN,F9,2,0,0,
BQN,F9,3,0,0,
BQN,UA,1,0,0,
BQN,UA,2,0,0,
BQN,UA,3,0,0,
BQN,B6,1,217,71,0.2465277777777778
BQN,B6,2,108,45,0.29411764705882354
BQN,B6,3,0,0,
BQN,WN,1,0,0,
BQN,WN,2,0,0,
BQN,WN,3,0,0,
BQN,AA,1,0,0,
BQN,AA,2,0,0,
BQN,AA,3,0,0,
BQN,US,1,0,0,
BQN,US,2,0,0,
BQN,US,3,0,0,
BQN,DL,1,0,0,
BQN,DL,2,0,0,
BQN,DL,3,0,0,
BQN,NK,1,0,0,
BQN,NK,2,0,0,
BQN,NK,3,0,0,
BQN,VX,1,0,0,
BQN,VX,2,0,0,
BQN,VX,3,0,0,
BQN,AS,1,0,0,
BQN,AS,2,0,0,
BQN,AS,3,0,0,
BQN,EV,1,0,0,
BQN,EV,2,0,0,
BQN,EV,3,0,0,
LAX,F9,1,37,14,0.27450980392156865
LAX,F9,2,0,0,
LAX,F9,3,10,0,0.0
LAX,UA,1,126,74,0.37
LAX,UA,2,204,55,0.21235521235521235
LAX,UA,3,7,1,0.125
LAX,B6,1,0,0,
LAX,B6,2,0,0,
LAX,B6,3,0,0,
LAX,WN,1,0,0,
LAX,WN,2,0,0,
LAX,WN,3,0,0,
LAX,AA,1,209,109,0.34276729559748426
LAX,AA,2,201,147,0.4224137931034483
LAX,AA,3,3,4,0.5714285714285714
LAX,US,1,0,0,
LAX,US,2,0,0,
LAX,US,3,0,0,
LAX,DL,1,190,137,0.41896024464831805
LAX,DL,2,166,163,0.49544072948328266
LAX,DL,3,97,129,0.5707964601769911
LAX,NK,1,0,0,
LAX,NK,2,0,0,
LAX,NK,3,0,0,
LAX,VX,1,0,0,
LAX,VX,2,203,128,0.3867069486404834
LAX,VX,3,1,2,0.6666666666666666
LAX,AS,1,0,0,
LAX,AS,2,0,0,
LAX,AS,3,0,0,
LAX,EV,1,0,0,
LAX,EV,2,0,0,
LAX,EV,3,0,0,
SLC,F9,1,0,0,
SLC,F9,2,0,0,
SLC,F9,3,0,0,
SLC,UA,1,0,0,
SLC,UA,2,0,0,
SLC,UA,3,0,0,
SLC,B6,1,157,176,0.5285285285285285
SLC,B6,2,0,0,
SLC,B6,3,1,0,0.0
SLC,WN,1,0,0,
SLC,WN,2,0,0,
SLC,WN,3,0,0,
SLC,AA,1,0,0,
SLC,AA,2,0,0,
SLC,AA,3,0,0,
SLC,US,1,0,0,
SLC,US,2,0,0,
SLC,US,3,0,0,
SLC,DL,1,195,51,0.2073170731707317
SLC,DL,2,242,86,0.2621951219512195
SLC,DL,3,207,124,0.37462235649546827
SLC,NK,1,0,0,
SLC,NK,2,0,0,
SLC,NK,3,0,0,
SLC,VX,1,0,0,
SLC,VX,2,0,0,
SLC,VX,3,0,0,
SLC,AS,1,0,0,
SLC,AS,2,0,0,
SLC,AS,3,0,0,
SLC,EV,1,0,0,
SLC,EV,2,0,0,
SLC,EV,3,0,0,
SFO,F9,1,0,0,
SFO,F9,2,0,0,
SFO,F9,3,0,0,
SFO,UA,1,67,59,0.46825396825396826
SFO,UA,2,191,119,0.38387096774193546
SFO,UA,3,215,146,0.40443213296398894
SFO,B6,1,0,0,
SFO,B6,2,0,0,
SFO,B6,3,0,0,
SFO,WN,1,0,0,
SFO,WN,2,0,0,
SFO,WN,3,0,0,
SFO,AA,1,0,0,
SFO,AA,2,0,0,
SFO,AA,3,0,0,
SFO,US,1,0,0,
SFO,US,2,0,0,
SFO,US,3,0,0,
SFO,DL,1,0,0,
SFO,DL,2,0,0,
SFO,DL,3,0,0,
SFO,NK,1,0,0,
SFO,NK,2,0,0,
SFO,NK,3,0,0,
SFO,VX,1,0,0,
SFO,VX,2,0,0,
SFO,VX,3,0,0,
SFO,AS,1,0,0,
SFO,AS,2,0,0,
SFO,AS,3,0,0,
SFO,EV,1,0,0,
SFO,EV,2,0,0,
SFO,EV,3,0,0,
SJU,F9,1,0,0,
SJU,F9,2,0,0,
SJU,F9,3,0,0,
SJU,UA,1,0,0,
SJU,UA,2,0,0,
SJU,UA,3,0,0,
SJU,B6,1,314,67,0.17585301837270342
SJU,B6,2,534,251,0.3197452229299363
SJU,B6,3,431,361,0.45580808080808083
SJU,WN,1,344,45,0.11568123393316196
SJU,WN,2,499,130,0.2066772655007949
SJU,WN,3,239,145,0.3776041666666667
SJU,AA,1,0,0,
SJU,AA,2,0,0,
SJU,AA,3,0,0,
SJU,US,1,0,0,
SJU,US,2,0,0,
SJU,US,3,0,0,
SJU,DL,1,0,0,
SJU,DL,2,0,0,
SJU,DL,3,0,0,
SJU,NK,1,11,4,0.26666666666666666
SJU,NK,2,107,62,0.3668639053254438
SJU,NK,3,4,4,0.5
SJU,VX,1,0,0,
SJU,VX,2,0,0,
SJU,VX,3,0,0,
SJU,AS,1,0,0,
SJU,AS,2,0,0,
SJU,AS,3,0,0,
SJU,EV,1,0,0,
SJU,EV,2,0,0,
SJU,EV,3,0,0,
PHL,F9,1,220,96,0.3037974683544304
PHL,F9,2,99,126,0.56
PHL,F9,3,44,138,0.7582417582417582
PHL,UA,1,0,0,
PHL,UA,2,0,0,
PHL,UA,3,0,0,
PHL,B6,1,0,0,
PHL,B6,2,0,0,
PHL,B6,3,0,0,
PHL,WN,1,484,97,0.16695352839931152
PHL,WN,2,396,207,0.34328358208955223
PHL,WN,3,155,185,0.5441176470588235
PHL,AA,1,212,71,0.2508833922261484
PHL,AA,2,337,244,0.4199655765920826
PHL,AA,3,172,144,0.45569620253164556
PHL,US,1,256,92,0.26436781609195403
PHL,US,2,369,334,0.4751066856330014
PHL,US,3,216,175,0.4475703324808184
PHL,DL,1,0,0,
PHL,DL,2,0,0,
PHL,DL,3,0,0,
PHL,NK,1,0,0,
PHL,NK,2,0,0,
PHL,NK,3,0,0,
PHL,VX,1,0,0,
PHL,VX,2,0,0,
PHL,VX,3,0,0,
PHL,AS,1,0,0,
PHL,AS,2,0,0,
PHL,AS,3,0,0,
PHL,EV,1,0,0,
PHL,EV,2,0,0,
PHL,EV,3,0,0,
FLL,F9,1,0,0,
FLL,F9,2,0,0,
FLL,F9,3,0,0,
FLL,UA,1,0,0,
FLL,UA,2,0,0,
FLL,UA,3,0,0,
FLL,B6,1,0,0,
FLL,B6,2,0,0,
FLL,B6,3,0,0,
FLL,WN,1,0,0,
FLL,WN,2,0,0,
FLL,WN,3,0,0,
FLL,AA,1,0,0,
FLL,AA,2,0,0,
FLL,AA,3,0,0,
FLL,US,1,0,0,
FLL,US,2,0,0,
FLL,US,3,0,0,
FLL,DL,1,0,0,
FLL,DL,2,0,0,
FLL,DL,3,0,0,
FLL,NK,1,210,123,0.36936936936936937
