Origin,Airline,Time,On_Time,Late,Probability_Late,Distributions,Parameters
DEN,F9,1,197,93,0.32068965517241377,lognorm,"(1.2939861329763687, 0.38442284579266084, 12.275113833974167)"
DEN,F9,2,190,211,0.5261845386533666,lognorm,"(1.3506101717461465, 0.5523163637100006, 8.109875376135424)"
DEN,F9,3,41,67,0.6203703703703703,beta,"(0.8215077136729325, 3.817289838521056, 1.9999999999999998, 231.1969698930042)"
DEN,UA,1,1,3,0.75,lognorm,"(7.253309937295301, 27.999999999999993, 21.986769864220673)"
DEN,UA,2,430,259,0.3759071117561684,lognorm,"(1.2011818831735295, 0.018257865833160865, 13.631719130225566)"
DEN,UA,3,175,114,0.3944636678200692,lognorm,"(1.3905918101919403, 0.19503784247630793, 19.862546914448707)"
DEN,WN,1,50,7,0.12280701754385966,gamma,"(0.9402224800726829, 6.999999999999999, 65.56994227577769)"
DEN,WN,2,393,181,0.3153310104529617,lognorm,"(1.239175296258053, 0.28528236366172544, 9.530514299222013)"
DEN,WN,3,231,258,0.5276073619631901,lognorm,"(1.189302075496862, -0.04252249373121052, 20.413245800719736)"
IAD,F9,1,29,29,0.5,expon,"(1.0, 31.620689655172413)"
IAD,F9,2,122,69,0.3612565445026178,lognorm,"(1.3853886130655644, 0.19833567391187776, 14.064465295932976)"
IAD,F9,3,8,115,0.934959349593496,lognorm,"(0.903268190303492, -3.6728838725581907, 45.61761313337026)"
IAD,UA,1,219,102,0.3177570093457944,lognorm,"(1.5423866671152766, 0.6692645981599714, 6.572245396401083)"
IAD,UA,2,382,165,0.3016453382084095,lognorm,"(1.762435252395036, 0.8162620391658013, 10.359805680780422)"
IAD,UA,3,209,217,0.5093896713615024,lognorm,"(0.8868551918226522, -3.579025329753353, 32.495713003982246)"
LGA,B6,1,311,89,0.2225,lognorm,"(1.3883356282803194, 0.5926258877051283, 6.905443038894976)"
LGA,B6,2,318,267,0.4564102564102564,lognorm,"(1.1990281326815804, -0.23728131850885115, 19.616287914097583)"
LGA,B6,3,321,359,0.5279411764705882,weibull_min,"(0.8201511711641325, 0.9999999999999999, 52.1381366668477)"
LGA,AA,1,8,7,0.4666666666666667,triang,"(0.9999999999993986, 0.964975570465135, 20.035024853402405)"
LGA,DL,1,319,73,0.1862244897959184,lognorm,"(1.2163013205011977, 0.1820111518809707, 11.720132661493617)"
LGA,DL,2,734,417,0.3622936576889661,lognorm,"(1.209669310156241, -0.18872543720252952, 18.0825872996882)"
LGA,DL,3,370,320,0.463768115942029,lognorm,"(1.3993147417741443, 0.40652963866254455, 33.93750768308598)"
MIA,AA,1,454,207,0.3131618759455371,lognorm,"(1.4289712102158574, 0.4201823608368551, 10.374085181150388)"
MIA,AA,2,597,580,0.4927782497875956,lognorm,"(1.4239861681256203, 0.4260136769859236, 13.05785943814006)"
MIA,AA,3,476,688,0.5910652920962199,lognorm,"(1.2713645689822761, -0.0698088236491029, 18.435686923895133)"
MIA,DL,2,18,7,0.28,beta,"(0.6770106186580127, 0.957758949007494, 0.9999999999999999, 14.225045815297552)"
MIA,DL,3,0,6,1.0,gamma,"(0.5452593273145683, 15.999999999999998, 20.792454883246435)"
MDW,WN,1,501,105,0.17326732673267325,expon,"(1.0, 10.676190476190476)"
MDW,WN,2,751,439,0.3689075630252101,lognorm,"(1.19105047312005, 0.0054920247558018845, 13.11043061019991)"
MDW,WN,3,424,361,0.4598726114649682,lognorm,"(1.1392776881050362, -0.8048056300487587, 22.570894669970308)"
JFK,B6,1,569,250,0.3052503052503053,lognorm,"(1.3049169279089046, 0.3551268255495028, 10.136907010310185)"
JFK,B6,2,815,525,0.3917910447761194,weibull_min,"(0.854593562405807, 0.9999999999999999, 29.392809734101675)"
JFK,B6,3,499,453,0.4758403361344538,lognorm,"(1.199949451883339, -0.7777575915005418, 27.663062839233568)"
JFK,AA,1,249,72,0.22429906542056074,lognorm,"(1.2541727353944547, 0.2045581318043876, 12.022026364993014)"
JFK,AA,2,226,125,0.3561253561253561,lognorm,"(1.2068836177629272, -0.25980806143470425, 19.09978892662769)"
JFK,AA,3,12,4,0.25,expon,"(125.0, 32.25)"
JFK,DL,1,222,71,0.242320819112628,weibull_min,"(0.9092523104260898, 0.9999999999999998, 17.091628151842876)"
JFK,DL,2,616,245,0.2845528455284553,lognorm,"(1.382585535376757, 0.12522299558885278, 18.55318920524839)"
JFK,DL,3,223,173,0.4368686868686869,beta,"(0.6961119047698421, 46.68809977769551, 0.9999999999999999, 5106.163132215681)"
LAS,F9,1,99,116,0.5395348837209303,lognorm,"(1.069365369720348, -0.8343737158593196, 22.289123053299356)"
LAS,F9,2,31,30,0.4918032786885246,lognorm,"(1.0476770165472122, -1.0034401849903083, 15.713687461264499)"
LAS,WN,1,0,1,1.0,beta,"(1.0000081518985104, 1.0000008427799916, 229.99976779596182, 0.00024996474965882946)"
LAS,WN,2,199,128,0.3914373088685015,lognorm,"(1.0541705132940082, 0.10362852014783305, 11.240711305482876)"
LAS,WN,3,146,192,0.5680473372781065,lognorm,"(1.1626510468346065, -0.03998001221081007, 13.543706324195268)"
PHX,WN,2,151,122,0.4468864468864469,expon,"(1.0, 17.16393442622951)"
PHX,WN,3,41,37,0.4743589743589744,weibull_min,"(0.8135850762656063, 0.9999999999999999, 59.2721862270014)"
PHX,AA,1,34,35,0.5072463768115942,lognorm,"(1.1926850264294822, 0.31788175884489844, 8.97472870833391)"
PHX,AA,2,95,77,0.4476744186046512,lognorm,"(1.4950381251398017, 0.7053959635466828, 7.805199099162154)"
PHX,AA,3,56,69,0.552,beta,"(0.5767431748136018, 28.87793469832572, 0.9999999999999999, 1606.49625906141)"
PHX,US,1,73,51,0.4112903225806452,lognorm,"(1.0214974975536042, -0.0031424349699502533, 8.7726287641659)"
